"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Hashmi, M.R.; Riaz, M.; Mahmood, A.; Ajmaeen, M.; Aslam, M.","Hashmi, Masooma Raza (57200878807); Riaz, Muhammad (57611620500); Mahmood, Arshid (60123641400); Ajmaeen, Muhammad (60123805300); Aslam, Muhammad Suhail (59120611800)","57200878807; 57611620500; 60123641400; 60123805300; 59120611800","Optimizing performance metrics with new distance and similarity measures using control parameters of linear Diophantine fuzzy sets","2025","Engineering Applications of Artificial Intelligence","162","","112557","","","0","0","10.1016/j.engappai.2025.112557","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017566899&doi=10.1016%2Fj.engappai.2025.112557&partnerID=40&md5=f6308ff21b257b48ce90aa3fa391ab80","The control parameters (CPs) of linear Diophantine fuzzy sets (LDFSs) provide an innovative approach for information analysis in the multi-criteria decision making (MCDM), machine learning (ML), and computational intelligence (CI). The CPs give freedom to the decision-makers in evaluating feasible alternatives in measuring performance metrics. Previous fuzzy MCDM methods often meet strict limitations in handling real-world uncertainty and dynamic MCDM. To overcome these limitations, this study extends the Preference Ranking Organization Method for Enrichment of Evaluations (PROMETHEE-II) method to linear Diophantine fuzzy sets (LDFSs) for more flexible and robust MCDM approach. The proposed MCDM approach primarily evaluates performance metrics criterion, utilizing LDFSs which are robust extension of fuzzy sets (FSs), intuitionistic fuzzy sets (IFSs) as well as interval-valued intuitionistic fuzzy sets (IVIFSs). It helps decision makers to address uncertain information with membership degree (MD), non-membership degree (NMD), and CPs. For this objective, new LDFS based distance measures (DMs) and similarity measures (SMs) are developed for the construction of LDFS PROMETHEE-II technique. The proposed MCDM approach provides a structured and comprehensive framework for optimizing investment performance metrics. Its robustness is validated through sensitivity and comparative analyses. © 2025 Elsevier B.V., All rights reserved.","Control parameters; Distance measures; Linear Diophantine fuzzy set; Optimizing performance metrics; Similarity measures","Artificial intelligence; Decision making; Distance measurement; Fuzzy logic; Investments; Learning systems; Optimization; Sensitivity analysis; Control parameters; Distance measure; Linear diophantine fuzzy set; Multi criteria decision-making; Multicriteria decision-making; Multicriterion decision makings; Optimizing performance; Optimizing performance metric; Performance metrices; Similarity measure; Fuzzy sets","Article","Final","","Scopus","2-s2.0-105017566899"
"Moe, S.J.S.; Rizwan, A.; Khan, A.N.; Xu, R.; Kim, D.H.","Moe, Sa Jim Soe (58337875500); Rizwan, Atif (57224192910); Khan, Anam Nawaz (57222424770); Xu, Rongxu (57211633913); Kim, Dohyeun (44361167000)","58337875500; 57224192910; 57222424770; 57211633913; 44361167000","Safety monitoring digital twin-based centralized model consolidation mechanism using dynamic node selection for multi-worker safety prediction","2025","Engineering Applications of Artificial Intelligence","161","","112186","","","0","0","10.1016/j.engappai.2025.112186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015506605&doi=10.1016%2Fj.engappai.2025.112186&partnerID=40&md5=fda04ffed2d3e0faebe626cba7795d90","The construction industry remains one of the most hazardous sectors, requiring innovative solutions to safeguard workers, especially in complex, dynamic outdoor environments. Digital Twin (DT) technology offers promising capabilities for real-time safety monitoring through virtual replicas of physical systems. However, existing DT frameworks rarely integrate comprehensive safety monitoring via a centralized model consolidation mechanism, such as Federated Learning (FL), which is explicitly tailored for multi-worker scenarios. Addressing this challenge, this paper proposes a FL-based Safety Monitoring Digital Twin (SMDT) framework designed to enhance multi-worker safety in resource-constrained settings. This enables real-time safety monitoring and control by representing on-site workers as virtual objects within a synchronized DT environment. A dynamic node selection mechanism based on client performance is employed to optimize global model convergence in FL. To validate the proposed approach, an edge computing-based experimental testbed using actual Raspberry Pi devices was implemented, using real-world construction safety data including worker status, weather conditions, and building structural parameters. Experimental results demonstrate the effectiveness of the proposed framework in significantly improving safety predictions and real-time monitoring efficiency. This research establishes a foundational work towards safer construction sites through intelligent, synchronized safety monitoring systems. © 2025 Elsevier B.V., All rights reserved.","Artificial Intelligence of Things; Construction safety management; Digital twin; Federated learning; Internet of Things; On-site worker safety","Artificial intelligence; Construction; Construction industry; Digital twin; Embedded systems; Occupational risks; Project management; Real time systems; Virtual reality; Artificial intelligence of thing; Centralized models; Construction safety; Construction safety management; On-site worker safety; On-site workers; Safety management; Safety monitoring; Worker safety; Workers'; Internet of things","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105015506605"
"Yang, B.; Han, Z.; Yang, M.","Yang, Bo (59681803600); Han, Zhang (59682303300); Yang, Ming (59682561900)","59681803600; 59682303300; 59682561900","Prediction and optimization of structural performance of prefabricated bridges based on physical information neural network (PINN) and BlM","2025","Discover Artificial Intelligence","5","1","22","","","0","2","10.1007/s44163-025-00245-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000725602&doi=10.1007%2Fs44163-025-00245-5&partnerID=40&md5=ae080cda1a5111becb89a3297bf0f4f6","This study presents an innovative performance prediction and optimization method for prefabricated bridge structures, which integrates the strengths of Physical Information Neural Network (PINN) and Building Information Modeling (BIM). By combining the computational power of PINN for solving structural mechanics problems with BIM’s data management and modeling capabilities in construction engineering, a multi-layer, multi-dimensional intelligent framework for prediction and optimization is developed. BIM models provide crucial data, including geometric details, material properties, and construction process information, which are used to create a digital twin of the bridge. Leveraging PINN’s robust fitting ability, physical laws such as stress, strain, and equilibrium equations are incorporated into the neural network to predict the bridge’s performance under various operational conditions. The integration of physical constraints during PINN training enhances both the accuracy and reliability of the predictions. Subsequently, optimization algorithms refine the bridge design based on these predictions, ensuring improvements in performance while meeting key criteria such as safety, cost-effectiveness, and environmental impact. This method offers a scientifically rigorous and highly accurate approach to supporting the design and construction of prefabricated bridges, advancing intelligent construction and sustainable building practices. Experimental results demonstrate that the integrated PINN-BIM model outperforms traditional methods, exhibiting superior accuracy, generalization capability, and offering a novel solution for efficient bridge engineering construction and performance optimization. © 2025 Elsevier B.V., All rights reserved.","Building information modeling (BIM); Intelligent construction; Performance prediction; Physical information neural network (PINN); Prefabricated bridges; Structural optimization","Causeways; Intelligent buildings; Pressure vessels; Building information modeling; Building Information Modelling; Intelligent constructions; Neural-networks; Optimisations; Performance optimizations; Performance prediction; Physical information; Physical information neural network; Structural optimisations; Prefabricated bridges","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-86000725602"
"Zhao, Q.; Zhao, W.; Yuan, L.; Xing, R.; Sun, B.; Yang, Y.","Zhao, Qiliang (59211487100); Zhao, Weijian (59681568700); Yuan, Linlin (57845719400); Xing, Ruoshui (59939938400); Sun, Bochao (59585470800); Yang, Yuanzhang (57195136841)","59211487100; 59681568700; 57845719400; 59939938400; 59585470800; 57195136841","A transformer-based deep learning approach for mechanical response prediction and failure analysis of precast bridge slab joints using strain field","2025","Engineering Structures","344","","121407","","","0","0","10.1016/j.engstruct.2025.121407","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017753675&doi=10.1016%2Fj.engstruct.2025.121407&partnerID=40&md5=f06dedcc9b4dcb4169d649ea231dc9cd","The integration of artificial intelligence (AI) with finite element analysis (FEA) offers a promising approach for predicting structural mechanical and displacement responses. However, existing AI-FEA studies predominantly focus on single-material structures or simplified loading conditions, lacking a systematic framework for evaluating macro-scale responses of composite structures. To address this gap, this study proposes a failure analysis framework based on an enhanced U-shaped Transformer network, which combines the global dependency modeling capacity of attention mechanisms with a U-shaped encoder–decoder design well-suited for extracting strain-field features. The framework is applied to a novel ultra-high performance concrete (UHPC)-headed bar joint within accelerated bridge construction (ABC) systems. The enhanced Transformer-based model predicts internal rebar stresses and pull-out displacements by extracting critical features from strain field distributions. To evaluate real-world generalizability, artificial downsampling strategies were applied to simulate resolution limitations and systematic errors inherent in experimental strain measurements. Results demonstrate that the proposed method achieves high prediction accuracy for rebar stresses (MAE &lt; 2.7 MPa) and pull-out displacements (MAE &lt; 0.05 mm). Furthermore, discrete stress–displacement states were fitted into a logarithmic model with low weighted orthogonal distance squared sum (W-ODSS), establishing an empirically derived failure model guided by physical observations. This criterion achieved 97.2 % accuracy in failure assessment under diverse adverse conditions. Additional FEA simulations extending beyond the original dataset parameter ranges confirmed the model’s robust predictive performance. While the present study focuses on slab-to-slab connection joints, the proposed methodology shows potential for future extension to other critical engineering scenarios, such as beam–column connections and composite slab joints. More broadly, with the integration of digital image correlation (DIC) or embedded sensing systems, this framework could contribute to advancing digital twin approaches for infrastructure lifecycle management. © 2025 Elsevier B.V., All rights reserved.","Deep learning; Failure analysis; Precast bridge slab joint; Strain field; Transformer model; Ultra-high performance concrete","Bridge decks; Concrete slabs; Data mining; Failure (mechanical); Failure analysis; Joints (structural components); Life cycle; Rebar; Strain measurement; Structural analysis; Systematic errors; Ultra-high performance concrete; Bridge slabs; Deep learning; Finite element analyse; High-performance concrete; Mechanical response; Precast bridge slab joint; Precast bridges; Strain fields; Transformer modeling; Ultra high performance","Article","Final","","Scopus","2-s2.0-105017753675"
"Ding, G.; Liu, M.; Chen, H.; Zhang, J.; Wang, S.; Xie, J.","Ding, Guofu (14029781900); Liu, Mingyuan (58316728900); Chen, Haojie (57211024280); Zhang, Jian (57196379081); Wang, Shuying (56604653500); Xie, Jiaxiang (58316501400)","14029781900; 58316728900; 57211024280; 57196379081; 56604653500; 58316501400","Virtual reconstruction-based digital twin shop floor: theoretical methodology, industrial software, and applications","2025","Journal of Manufacturing Systems","83","","","424","444","0","0","10.1016/j.jmsy.2025.09.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017594461&doi=10.1016%2Fj.jmsy.2025.09.019&partnerID=40&md5=675be8039ddc206bfde19c0d084ff90c","Digital Twin (DT) has become a key enabling technology for intelligent upgrading in discrete manufacturing shops. However, existing research primarily focuses on specific production applications, lacking consideration of the continuity across the overall production operation cycle. Such decentralized research leads to model fragmentation, data silos, and logical inconsistencies among multiple application scenarios such as pre-production planning, in-production execution, and post-production analysis, making effective integration and collaboration difficult. To address these challenges, this paper proposes a Seven-Element virtual reconstruction theory that enables consistent modeling of production elements, organizational forms, and execution logic. Based on this theory, a DT shop construction and operation framework centered on unified production logic is developed to support seamless integration and collaboration of various production applications. Additionally, operation methods for three core production applications of DT shop execution, simulation, and monitoring are systematically developed, establishing an overall technical system throughout the entire production cycle driven by a unified model. Corresponding DT industrial software systems are developed to support engineering implementation of the proposed methods. Validation through an actual shop floor demonstrates that the proposed method effectively achieves model unification and data fusion across multiple application scenarios, enhances both effectiveness and consistency of DT shop construction and operation. © 2025 Elsevier B.V., All rights reserved.","Digital twin; Discrete manufacturing shop; Industrial software; Multiple production applications; Unified production logic","Digital twin; Production control; Application scenario; Discrete manufacturing; Discrete manufacturing shop; Industrial software; Integration and collaboration; Multiple applications; Multiple production application; Shopfloors; Unified production logic; Virtual reconstruction; Application programs","Article","Final","","Scopus","2-s2.0-105017594461"
"Wang, B.; Lin, F.; Li, M.; Liang, Z.; Yue, H.; Wang, Q.; Cheng, J.C.P.","Wang, Boyu (57221940953); Lin, Fangzhou (58359673100); Li, Mingkai (57195598402); Liang, Zhenyu (58976034300); Yue, Hongzhe (57215507323); Wang, Qian (56430161500); Cheng, Jack C.P. (59409633600)","57221940953; 58359673100; 57195598402; 58976034300; 57215507323; 56430161500; 59409633600","Aligning as-built and as-designed: Local point cloud to BIM registration via hybrid visibility map encoding for construction digital twins","2025","Automation in Construction","180","","106551","","","0","0","10.1016/j.autcon.2025.106551","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017553638&doi=10.1016%2Fj.autcon.2025.106551&partnerID=40&md5=3a068bb34d7ce8f676e48d99840eaa5f","Aligning local as-built data including point clouds and images with as-designed BIMs is critical for enabling construction digital twins. However, automated registration of local scan data to BIMs remains challenging due to modality gaps, large search spaces, structural self-similarity, and geometric inconsistencies. This paper leverages visibility maps for their inherent robustness to modality differences and strong discriminative capability in self-similar environments, proposing a hybrid visibility map encoding approach that integrates traditional geometric descriptors with deep features extracted from vision foundation models for local point cloud to BIM registration. Experiments on real construction sites showed over 92 % registration success, outperforming traditional local and global feature-based methods. The results enable more effective quality control, progress tracking, and model updating for stakeholders concerned with construction projects. This work paves the way for future research on applying foundation models to cross-domain data alignment and broader applications in the built environment sector. © 2025 Elsevier B.V., All rights reserved.","BIM; Construction digital twin; Cross-domain registration; Point clouds; Visibility; Vision foundation model","Artificial intelligence; Data mining; Digital twin; Foundations; Maps; Automated registration; Construction digital twin; Cross-domain; Cross-domain registration; Domain registrations; Encodings; Foundation models; Point-clouds; Visibility maps; Vision foundation model; Visibility","Article","Final","","Scopus","2-s2.0-105017553638"
"Chen, J.; Lu, W.; Ji, X.; Fu, Y.","Chen, Junjie (57210923022); Lu, Weisheng (59471655000); Ji, Xiang (58912420600); Fu, Yonglin (58017421900)","57210923022; 59471655000; 58912420600; 58017421900","Improving interoperability in robot digital twinning for facility management: An industry foundation class-represented RoboAvatar approach","2025","Computers in Industry","173","","104384","","","0","0","10.1016/j.compind.2025.104384","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017228632&doi=10.1016%2Fj.compind.2025.104384&partnerID=40&md5=0741de435b35834484c9399f8ec88928","With its bi-directional information flow, a digital twin offers the potential to enhance predictability and controllability of robots for facility management (FM). The implementation of FM involves frequent robot-building interactions, necessitating information exchanges between a robot digital twin (RDT) and a building information model (BIM). However, such information exchanges are prohibited by the different data formats used by the RDT and BIM. Our recent study has proven the viability of industry foundation class (IFC) in digitally representing robots as Avatars, and seamlessly integrating the resulting RoboAvatars into BIM-based software. Building upon that, this paper explores how the IFC-represented RoboAvatars can be used to improve interoperability of RDTs for FM. A lab experiment was conducted with an indoor trash picking robot. It demonstrates effectiveness of IFC-based RDTs in FM via the freely exchangeable robot-building information. The robot movements can be mirrored with high granularity within a BIM context. Information from BIM can be directly retrieved to trigger robot movements remotely. The research contributes to the field of FM robotics by providing the world's first methodology to directly develop and deploy RDTs in a mainstream BIM-based environment. © 2025 Elsevier B.V., All rights reserved.","Construction robotics; Digital twin; Facility management; Industrial foundation class (IFC); Interoperability; Smart building","Architectural design; Building Information Model; Digital twin; Industrial management; Information dissemination; Information management; Office buildings; Robots; Twinning; Bi-directional; Building Information Modelling; Construction robotics; Directional information; Facilities management; Industrial foundation class; Information exchanges; Model-based OPC; Robot movements; Intelligent buildings","Article","Final","","Scopus","2-s2.0-105017228632"
"Mathias, P.M.; Javier, M.S.; Felipe, M.L.R.","Mathias, Proboste Martinez (60090870200); Javier, Mora Serrano (60090486900); Felipe, Muñoz La Rivera (60090685000)","60090870200; 60090486900; 60090685000","Virtual worlds in AECO operations: Towards a human-centric framework","2025","Automation in Construction","180","","106529","","","0","0","10.1016/j.autcon.2025.106529","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015356900&doi=10.1016%2Fj.autcon.2025.106529&partnerID=40&md5=dea867688ea9a9c84df79f6c4c35c758","The AECO industry faces persistent challenges, including fragmentation, inefficiencies, and limited human-centric integration in digital workflows. While BIM and Digital Twins (DTs) have advanced digitalization, they often lack the immersive, multi-user, and interactive environments crucial for Industry 5.0 and Construction 5.0. This paper presents a comprehensive review of Virtual Worlds (VWs) and their potential for the AECO sector. Based on this review, a human-centric methodological and technological framework is proposed, structured across four synergistic layers: Data & Context; Processing & Simulation; Interaction & Visualization; and Integration & Connectivity. This framework integrates Extended Reality (XR), Artificial Intelligence (AI), and Gaming Technology with existing BIM and DTs data. Its applicability is conceptually illustrated through five research prototypes, demonstrating its potential to guide advancements in collaboration, simulation, visualization, and human-machine interaction in AECO. This work contributes a structured vision and roadmap for fostering more efficient, collaborative, and human-augmented digital practices. © 2025 Elsevier B.V., All rights reserved.","AECO; Avatars; BIM; Digital twins; Framework; Human-centric; Virtual world; XR","Artificial intelligence; Digital twin; Human computer interaction; Interactive computer graphics; Visualization; AECO; Avatar; Digital workflows; Framework; Human-centric; Immersive; Interactive Environments; Multiuser environments; Virtual worlds; XR; Virtual reality","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105015356900"
"Bazrafshan, P.; Melag, K.; Ebrahimkhanlou, A.","Bazrafshan, Pedram (57742750000); Melag, Kris (60024922700); Ebrahimkhanlou, Arvin (56196179400)","57742750000; 60024922700; 56196179400","Semantic and lexical analysis of pre-trained vision language artificial intelligence models for automated image descriptions in civil engineering","2025","AI in Civil Engineering","4","1","17","","","0","1","10.1007/s43503-025-00063-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012308384&doi=10.1007%2Fs43503-025-00063-9&partnerID=40&md5=9d7e9f3aa5464110cccab2e719df7109","This paper investigates the application of pre-trained Vision-Language Models (VLMs) for describing images from civil engineering materials and construction sites, with a focus on construction components, structural elements, and materials. The novelty of this study lies in the investigation of VLMs for this specialized domain, which has not been previously addressed. As a case study, the paper evaluates ChatGPT-4v’s ability to serve as a descriptor tool by comparing its performance with three human descriptions (a civil engineer and two engineering interns). The contributions of this work include adapting a pre-trained VLM to civil engineering applications without additional fine-tuning and benchmarking its performance using both semantic similarity analysis (SentenceTransformers) and lexical similarity methods. Utilizing two datasets—one from a publicly available online repository and another manually collected by the authors—the study employs whole-text and sentence pair-wise similarity analyses to assess the model’s alignment with human descriptions. Results demonstrate that the best-performing model achieved an average similarity of 76% (4% standard deviation) when compared to human-generated descriptions. The analysis also reveals better performance on the publicly available dataset. © 2025 Elsevier B.V., All rights reserved.","Artificial intelligence; Civil engineering; Digital twin; Image description; Pre-Trained Transformers; Vision language models","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105012308384"
"Cheng, D.; Hu, B.; Feng, Y.; Yang, J.; Zhong, R.; Wang, T.; Tan, J.","Cheng, Dinghao (59149250400); Hu, Bingtao (57200644495); Feng, Yixiong (7404544436); Yang, Jiangxin (9273171400); Zhong, Ruirui (58170140600); Wang, Tianyue (57216645956); Tan, Jianrong (57216751403)","59149250400; 57200644495; 7404544436; 9273171400; 58170140600; 57216645956; 57216751403","Digital Twin-driven Inversion of Assembly Precision for Industrial Equipment: Challenges, Progress and Perspectives","2025","Chinese Journal of Mechanical Engineering (English Edition)","38","1","75","","","0","1","10.1186/s10033-025-01224-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006434630&doi=10.1186%2Fs10033-025-01224-8&partnerID=40&md5=387be27435c97992fe1021c41eb15433","Assembly precision greatly influences the performance of complex high-end equipment. The traditional industrial assembly process and deviation transfer are implicit and uncertain, causing problems like poor component fit and hard-to-trace assembly stress concentration. Assemblers can only check whether the dimensional tolerance of the component design is exceeded step by step in combination with prior knowledge. Inversion in industrial assembly optimizes assembly and design by comparing real and theoretical results and doing inversion analysis to reduce assembly deviation. The digital twin (DT) technology visualizes and predicts the assembly process by mapping real and virtual model parameters and states simultaneously, expanding parameter range for inversion analysis and improving inversion result accuracy. Problems in improving industrial assembly precision and the significance and research status of DT-driven parametric inversion of assembly tools, processes and object precision are summarized. It analyzes vital technologies for assembly precision inversion such as multi-attribute assembly process parameter sensing, virtual modeling of high-fidelity assembly systems, twin synchronization of assembly process data models, multi-physical field simulation, and performance twin model construction of the assembly process. Combined with human-cyber-physical system, augmented reality, and generative intelligence, the outlook of DT-driven assembly precision inversion is proposed, providing support for DT's use in industrial assembly and precision improvement. © 2025 Elsevier B.V., All rights reserved.","Assembly precision; Digital twin; High-end equipment; Industrial assembly; Inversion","Assembly machines; Fits and tolerances; Assembly precision; Assembly process; Dimensional tolerance; High-end equipment; Industrial assemblies; Industrial equipment; Inversion; Inversion analysis; Performance; Virtual models; Augmented reality","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105006434630"
